Agreement,Agreementname,ACCT,Territory,Region,TransactionDate,EE,ND,SD,GR,WW,Other,TOTAL,DOCS,AccountName,QuotaEE,QuotaND,QuotaSD,QuotaGR,QuotaWW,QuotaOther,LastYearEE,LastYearND,LastYearSD,LastYearGR,LastYearWW,LastYearOther,Year,Period
769,Luxottica                                         ,236005,CORP2,west,6/22/2020,0,29.4,0,0,0,0.86,30.26,5,LENSCRAFTERS #948 ( LUX),0,125.31,0,0,0,0,0,121.66,0,0,0,0,2020,6
    ,,160545,ONTC ,central,6/22/2020,0,8.35,0,0,0,0.85,9.2,1,CLEVE BOURDEAU,0,16.5,0,0,0,53.35,0,16.02,0,0,0,51.8,2020,6
222,Carl Ziess Optical Inc.                           ,99138,CORP1,central,6/22/2020,0,65618.98,0,0,0,4374.13,69993.11,2616,CARL ZEISS VISION INC.,0,113816.49,2358.69,0,0,4360.65,0,110501.45,2289.99,0,0,4233.64,2020,6
257,Bernafon Canada Ltd                               ,99134,CORP2,central,6/22/2020,0,84806.02,0,38.96,0,716.95,85561.93,3017,OTICON CANADA,0,152973.93,0,10.45,0,738.2,0,148518.38,0,10.15,0,716.7,2020,6
    ,,162604,BC1  ,west,6/22/2020,0,46.64,0,0,0,4.32,50.96,2,COWICHAN EYECARE - CHEMAINUS,0,217.1,0,0,0,7,0,210.78,0,0,0,6.8,2020,6
769,Luxottica                                         ,247539,CORP2,central,6/22/2020,0,92.92,0,0,0,4.31,97.23,6,SUNGLASS HUT - BASS PRO/CABELA,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
856,KD Services Inc                                   ,240002,QUE1 ,Quebec,6/22/2020,0,14399.37,0,11711.29,0,353.17,26463.83,35,KD SERVICES INC (PFDC),0,24055.77,0,18727.34,0,595.74,0,23355.12,0,18181.88,0,578.39,2020,6
    ,,106248,WEST ,west,6/22/2020,0,47.25,0,0,0,6.05,53.3,4,MANHATTAN FINANCIAL GROUP,0,227.14,0,0,0,14.01,0,220.52,0,0,0,13.6,2020,6
    ,,96583,WEST ,west,6/22/2020,0,55.89,0,0,0,4.52,60.41,4,BELTONE HEARING SERVICE,0,39.53,0,0,0,1.75,0,38.38,0,0,0,1.7,2020,6
708,Distributino Julia                                ,209365,QUE1 ,Quebec,6/22/2020,0,2338.93,0,396.96,0,114.85,2850.74,31,CINE-AFFICHES MONTREAL INC.,0,5353.83,0,439.03,0,410.71,0,5197.89,0,426.24,0,398.75,2020,6
612,FYIdoctors                                        ,207189,BC1  ,west,6/22/2020,0,32509.52,0,33.9,0,565.2,33108.62,204,FYIDOCTORS-DELTA-OPHTHALMIC LAB.,0,51620.21,1899.55,340.28,0,885.8,0,50116.71,1844.22,330.37,0,860,2020,6
    ,,215043,ONTC ,central,6/22/2020,0,20.7,0,0,0,1.7,22.4,2,WINMAR LEAMINGTON,0,28.87,0,0,0,2.63,0,28.03,0,0,0,2.55,2020,6
107,Les Service Optometriques                         ,115852,QUE2 ,Quebec,6/22/2020,0,8978.33,0,0,0,350.28,9328.61,125,SECURO VISION,0,21977.33,0,0,0,484.62,0,21337.21,0,0,0,470.5,2020,6
